ID,URL,Thumbnail URL,Game,Vibrant,DarkVibrant,LightVibrant,Muted,DarkMuted,LightMuted,Price,Brief Description,Creator,Creator Itch.IO Page,Status,Updated,Platforms,Publisher,Release date,Rating,Authors,Genre,Made with,Tags,Average session,Languages,Inputs,Accessibility,Links,Number of Ratings
217553,https://bedtimephobias.itch.io/shrinking-pains,https://img.itch.zone/aW1hZ2UvMjE3NTUzLzEwMjg5MjIucG5n/315x250%23c/MPR0Kc.png,Shrinking Pains,#365bc8,#1c2f68,#f4f6fc,#203678,#203678,#c0c3c3,,A semi-autobiographical visual novel that explores the difficulties faced by young people battling anorexia.,Bedtime Phobias,https://bedtimephobias.itch.io,Released,,"Windows, Android",,,4.4,,Visual Novel,,"anorexia, Atmospheric, Black and White, Dark, Experimental, ggj18, LGBT, Mental Health, Minimalist, Narrative",A few minutes,English,"Mouse, Touchscreen, Smartphone","Color-blind friendly, Subtitles, High-contrast, One button",,10
189597,https://solarprotagonist.itch.io/halloween-live,https://img.itch.zone/aW1hZ2UvMTg5NTk3LzEwNDc2MjIucG5n/315x250%23c/26daQt.png,Battle Live: Halloween Live,#e558e4,#751773,#fad1c3,#a86a60,#6c3d51,#d4ac9c,,,solarProtag,https://solarprotagonist.itch.io,Released,4 days ago,"Windows, macOS, Linux",,,5,,Visual Novel,Ren'Py,"2D, Anime, Halloween, LGBT, renpy",About an hour,English,"Keyboard, Mouse, Gamepad (any)",,,10
440935,https://imaginativeizzy.itch.io/a-guardians-wish,https://img.itch.zone/aW1nLzIyMTczOTQucG5n/315x250%23c/pfY01v.png,A Guardian's Wish,#c680bc,#5b2954,#ecccfc,#7a63a6,#704c80,#b7a5cb,,A little midquel about two angels just trying to get along.,imaginativeizzy,https://imaginativeizzy.itch.io,Released,,Windows,,,4.6,,Visual Novel,,"LGBT, RPG Maker, Slice Of Life, Yuri",,,,,,10
488588,https://wick.itch.io/aesthetic,https://img.itch.zone/aW1nLzI1NjUzNDMucG5n/315x250%23c/8e3x%2Bz.png,Aesthetic,#54d4e4,#126772,#f2a8c6,#147784,#147784,#9dbcd4,,🌺 a short story for coming out day 🌺,Olive,https://wick.itch.io,Released,,HTML5,,"Oct 11, 2019",4.9,,Interactive Fiction,Twine,"Cute, Female Protagonist, Gay, LGBT, Queer, Short, Text based, Transgender",About a half-hour,English,"Keyboard, Mouse, Smartphone",One button,,10
160832,https://carapapa.itch.io/otomevania,https://img.itch.zone/aW1hZ2UvMTYwODMyLzczODMyOS5qcGc=/315x250%23c/e%2BUY%2B8.jpg,Otomevania,#9c0404,#7a0404,#fb7d7d,#9c746c,#583330,#d6cabd,,Sexy vampires dating sim,CaraPapaProductions,https://carapapa.itch.io,Released,,"Windows, macOS, Linux",,,4.7,,Visual Novel,Ren'Py,"2D, Cute, Dating Sim, Female Protagonist, LGBT, Otome, renpy, Vampire",,,,,,10
664582,https://puzzle-deluxe.itch.io/puri-puri-web,https://img.itch.zone/aW1nLzM3ODM5NzguanBn/315x250%23c/iVW1Pm.jpg,Puri-Puri Web!,#f30b73,#7e063c,#fcc2dc,#910745,#910745,#fcfcfb,,,Puzzle Deluxe,https://puzzle-deluxe.itch.io,Released,,HTML5,,,4.1,,Visual Novel,,"Anime, Dating Sim, LGBT, renpy, Yaoi",About an hour,"English, Spanish; Latin America",Mouse,,,10
470394,https://reineworks.itch.io/browser-blossoms-bloom-brightest,https://img.itch.zone/aW1nLzI0MDcwODAucG5n/315x250%23c/XJElkq.png,[Browser] Blossoms Bloom Brightest,#c43c84,#462c5f,#f8a1ca,#ab5287,#5a406f,#d8afb6,,"A sci-fi, yuri visual novel with a dollop of mystery.",Reine Works,https://reineworks.itch.io,Released,,HTML5,,"Apr 09, 2017",3.5,,Visual Novel,Ren'Py,"Alternate History, Anime, Female Protagonist, LGBT, LGBTQIA, Meaningful Choices, Romance, Sci-fi, Yuri",A few hours,English,"Keyboard, Mouse, Smartphone","Subtitles, One button",,10
917041,https://sswk.itch.io/sswk-vday-special1,https://img.itch.zone/aW1nLzUyMDUzNjIucG5n/315x250%23c/N1%2B217.png,SSWK: Valentine's Day Special,#e45454,#792c33,#f6c998,#955658,#5b333c,#c49697,,"A short, free Valentine's game! Today, you have a date planned with your boyfriend...",Signed and Sealed With a Kiss,https://sswk.itch.io,Released,,"Windows, macOS, Linux",,,4.7,,"Interactive Fiction, Visual Novel",,"2D, Anime, Cute, LGBT, Multiple Endings, Parody, relationship, Romance, Short",,,,,,10
936218,https://yumecreations.itch.io/neighbors-by-chance,https://img.itch.zone/aW1nLzUzMDQ0ODcucG5n/315x250%23c/zrMV9H.png,Neighbors by Chance,#309cc5,#17558c,#e8b296,#9c5360,#38383e,#afc5d4,,Short Yuri Visual Novel for Valentines VN Jam 2021,Yume Creations,https://yumecreations.itch.io,Released,,,,,4.7,,Visual Novel,,"2D, Anime, japan, LGBT, renpy, Romance, Short, Singleplayer, Yuri",,,,,,10
766840,https://cryoslight.itch.io/her-sign,https://img.itch.zone/aW1nLzQ2NzEzMDUucG5n/315x250%23c/%2FWdw%2Bs.png,Her Sign,#ec8c04,#7a3c11,#f2cf89,#a06e58,#482429,#dccbae,,The former janitor of a space station returns to Earth on a recruitment mission.,Cryoslight,https://cryoslight.itch.io,Released,,"Windows, macOS, Linux",,,4.6,,Visual Novel,,"Dark, Female Protagonist, Futuristic, Lesbian, LGBT, Mystery, Narrative, Queer, Story Rich, Yuri",,,,,,10
